Code	Description	Austin 	Chicago	New York
66	Turned when Unsafe  	Turned when Unsafe  	IMPROPER TURNING/NO SIGNAL	
67	Intoxicated - Alcohol  	Intoxicated - Alcohol  	UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED)	Alcohol Involvement
68	Intoxicated - Drug  	Intoxicated - Drug  		
69	Wrong Side - Approach or Intersection  	Wrong Side - Approach or Intersection  		
70	Wrong Side - Not Passing  	Wrong Side - Not Passing  	DRIVING ON WRONG SIDE/WRONG WAY	
71	Wrong Way - One Way Road  	Wrong Way - One Way Road  		
73	Road Rage  	Road Rage  	OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER	Aggressive Driving/Road Rage
74	Cell/Mobile Device Use - Talking  	Cell/Mobile Device Use - Talking  		Cell Phone (hand-held)
75	Cell/Mobile Device Use - Texting  	Cell/Mobile Device Use - Texting  	TEXTING	Texting
76	Cell/Mobile Device Use - Other  	Cell/Mobile Device Use - Other  	CELL PHONE USE OTHER THAN TEXTING	Cell Phone (hands-free)
77	Cell/Mobile Device Use - Unknown  	Cell/Mobile Device Use - Unknown  		Listening/Using Headphones
78	Failed to slow or move over for vehicles displaying emergency lights  	Failed to slow or move over for vehicles displaying emergency lights  		Other Electronic Device; Using On Board Navigation Device
79	Drove on improved shoulder	Drove on improved shoulder		Shoulders Defective/Improper
101	other	other	NOT APPLICABLE	80
120	BICYCLE ADVANCING LEGALLY ON RED LIGHT		BICYCLE ADVANCING LEGALLY ON RED LIGHT	
121	DISTRACTION - FROM OUTSIDE VEHICLE		DISTRACTION - FROM OUTSIDE VEHICLE	
122	DISREGARDING OTHER TRAFFIC SIGNS		DISREGARDING OTHER TRAFFIC SIGNS	
123	DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)		DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)	
124	DRIVING SKILLS/KNOWLEDGE/EXPERIENCE		DRIVING SKILLS/KNOWLEDGE/EXPERIENCE	
125	VEHICLE CONDITION		EQUIPMENT - VEHICLE CONDITION	Accelerator Defective; Brakes Defective
126	FAILING TO YIELD RIGHT-OF-WAY		FAILING TO YIELD RIGHT-OF-WAY	
127	OBSTRUCTED CROSSWALKS		OBSTRUCTED CROSSWALKS	
128	RELATED TO BUS STOP		RELATED TO BUS STOP	
129	ROAD CONSTRUCTION/MAINTENANCE		ROAD CONSTRUCTION/MAINTENANCE	Pavement Defective; Pavement Slippery
130	Pavement Defective		ROAD ENGINEERING/SURFACE/MARKING DEFECTS	
131	WEATHER		WEATHER	
132	UNABLE TO DETERMINE		UNABLE TO DETERMINE	
133	Driver Inexperience			Driver Inexperience
134	Driverless/Runaway Vehicle			Driverless/Runaway Vehicle
